# FS = 100 so fmax = 50 hz
# dt = 0.01
1.11,2.15E-01
1.12,2.39E-01
1.13,2.43E-01
1.14,2.25E-01
1.15,4.08E-01
1.16,2.32E-01
1.17,2.88E-01
1.18,2.39E-01
1.19,2.26E-01
1.2,2.38E-01
1.21,2.20E-01
1.22,4.03E-01
1.23,2.32E-01
1.24,2.56E-01
1.25,2.42E-01
1.26,2.23E-01
1.27,2.45E-01
1.28,2.15E-01
1.29,3.76E-01
1.3,2.15E-01
1.31,2.42E-01
1.32,-3.73E-02
1.33,2.08E-01
1.34,2.37E-01
1.35,2.13E-01
1.36,3.33E-01
1.37,2.25E-01
1.38,2.27E-01
1.39,-3.05E-02
1.4,2.15E-01
1.41,3.33E-01
1.42,2.22E-01
1.43,2.76E-01
1.44,2.34E-01
1.45,2.27E-01
1.46,4.18E-02
1.47,2.11E-01
1.48,3.00E-01
1.49,2.26E-01
1.5,2.62E-01
1.51,2.37E-01
1.52,2.17E-01
1.53,9.68E-02
1.54,1.92E-01
1.55,2.81E-01
1.56,2.15E-01
1.57,2.31E-01
1.58,2.41E-01
1.59,2.11E-01
1.6,3.71E-01
1.61,2.08E-01
1.62,2.34E-01
1.63,2.31E-01
1.64,2.43E-01
1.65,2.52E-01
1.66,2.28E-01
1.67,3.98E-01
1.68,2.34E-01
1.69,2.46E-01
1.7,2.42E-01
1.71,2.34E-01
1.72,2.44E-01
1.73,2.40E-01
1.74,4.07E-01
